Type,Number,CD,Street Name,Cross Street 1,Cross Street 2,Parking Restrictions,Petition Validation,Parking Study,Date Established,Date Posted,Last Action,Data Entered By,Council File Number
PPD,1,5,Almayo Avenue,Kerwood Avenue,Beverly Glen Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Almayo Avenue,Fox Hills Drive,Kerwood Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Almayo Avenue,Cul-De-Sac E of Fox Hills Drive,Fox Hills Drive,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Bellwood Avenue,Olympic Boulevard,Olympic Boulevard,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Benicia Avenue,Missouri Avenue,Santa Monica Boulevard,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,12/05/2001,Fill-In,SM,82-0644
PPD,1,5,Benicia Avenue,La Grange Avenue,Missouri Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,12/05/2001,Fill-In,SM,82-0644
PPD,1,5,Benicia Avenue,Comstock Avenue,La Grange Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Benicia Avenue,Mississippi Avenue,Comstock Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Benicia Avenue,Louisiana Avenue,Mississippi Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Benicia Avenue,Olympic Boulevard,Louisiana Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Benicia Avenue,Keswick Avenue,Olympic Boulevard,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Beverly Glen Boulevard,Olympic Boulevard,Keswick Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Beverly Glen Boulevard,Keswick Avenue,Tennessee Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Beverly Glen Boulevard,Tennessee Avenue,Ilona Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Beverly Glen Boulevard,Ilona Avenue,Almayo Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Beverly Glen Boulevard,Almayo Avenue,Alley S/E of Almayo Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Calvin Avenue,Fox Hills Drive,Cul-De-Sac E of Fox Hills Drive,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Calvin Avenue,Louisiana Avenue,Fox Hills Drive,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Calvin Avenue,Lauriston Avenue,Louisiana Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Comstock Avenue,Dunkirk Avenue,La Grange Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Comstock Avenue,La Grange Avenue,Missouri Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Comstock Avenue,Benicia Avenue,Dunkirk Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Dunkirk Avenue,Fox Hills Drive,Comstock Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Santa Monica Boulevard,Missouri Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Missouri Avenue,La Grange Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,La Grange Avenue,Dunkirk Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Dunkirk Avenue,Mississippi Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Mississippi Avenue,Kerwood Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Kerwood Avenue,Calvin Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Calvin Avenue,Lauriston Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Lauriston Avenue,Olympic Boulevard,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Orton Avenue,Keswick Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Keswick Avenue,Tennessee Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Tennessee Avenue,Ilona Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
